Date,Weight (kg),Stool (count)
2018-09-02,3.6,1
2018-09-03,,2
2018-09-04,3.4,2
2018-09-05,,7
2018-09-06,,4
2018-09-07,3.51,8
2018-09-08,,5
2018-09-09,,1
2018-09-10,,4
2018-09-11,,0
2018-09-12,3.6,7
2018-09-13,,8
2018-09-14,,7
2018-09-15,,6
2018-09-16,,7
2018-09-17,,7
2018-09-18,,9
2018-09-19,3.94,7
2018-09-20,,11
2018-09-21,,9
2018-09-22,,7
2018-09-23,,7
2018-09-24,,6
2018-09-25,,9
2018-09-26,,7
2018-09-27,,6
2018-09-28,,2
2018-09-29,,3
2018-09-30,,6
2018-10-01,,6
2018-10-02,,7
2018-10-03,4.6,7
2018-10-04,,7
2018-10-05,,8
2018-10-06,,9
2018-10-07,,7
2018-10-08,,7
2018-10-09,,6
2018-10-10,,6
2018-10-11,,5
2018-10-12,,6
2018-10-13,,4
2018-10-14,,2
2018-10-15,,3
2018-10-16,,3
2018-10-17,,2
2018-10-18,,2
2018-10-19,,2
2018-10-20,,3
